,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Adrian Peterson*+\PeteAd01,MIN,RB,27,16,16,0,0,0,0,0,348,2097,6.03,12,51,40,217,5.43,1,4,2,13,1,,307,347.4,355.4,327.4,191,1,1
2,Doug Martin *\MartDo00,TAM,RB,23,16,16,0,0,0,0,0,319,1454,4.56,11,70,49,472,9.63,1,1,1,12,,,263,311.6,318.6,287.1,146,2,2
3,Arian Foster *\FostAr00,HOU,RB,26,16,16,0,0,0,0,0,351,1424,4.06,15,58,40,217,5.43,2,3,2,17,,,262,302.1,310.1,282.1,145,3,3
4,Marshawn Lynch *+\LyncMa00,SEA,RB,26,16,15,0,0,0,0,0,315,1590,5.05,11,30,23,196,8.52,1,5,2,12,,,247,269.6,277.6,258.1,130,4,4
5,Alfred Morris\MorrAl00,WAS,RB,24,16,16,0,0,0,0,0,335,1613,4.81,13,16,11,77,7.00,0,4,3,13,,,241,252.0,258.0,246.5,124,5,5
6,Ray Rice*\RiceRa00,BAL,RB,25,16,16,0,0,0,0,0,257,1143,4.45,9,83,61,478,7.84,1,1,0,10,,,222,283.1,289.1,252.6,105,6,6
7,Calvin Johnson *+\JohnCa00,DET,WR,27,16,16,0,0,0,0,0,0,0,,0,204,122,1964,16.10,5,3,3,5,,,220,342.4,348.4,281.4,102,1,7
8,Brandon Marshall*+\MarsBr00,CHI,WR,28,16,16,0,0,0,0,0,1,-2,-2.00,0,192,118,1508,12.78,11,2,0,11,,,217,334.6,337.6,275.6,98,2,8
9,C.J. Spiller*\SpilC.00,BUF,RB,25,16,9,0,0,0,0,0,207,1244,6.01,6,57,43,459,10.67,2,3,3,8,,,212,255.3,264.3,233.8,96,7,9
10,Drew Brees*\BreeDr00,NOR,QB,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,,0,5,1,1,,,346,345.6,368.6,364.6,95,1,10
11,Aaron Rodgers *\RodgAa00,GNB,QB,29,16,16,371,552,4295,39,8,54,259,4.80,2,1,1,-1,-1.00,0,5,4,2,,1,344,344.6,362.6,352.1,93,2,11
12,Tom Brady *\BradTo00,NWE,QB,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,,0,2,0,4,,,340,340.3,351.3,348.3,90,3,12
13,Dez Bryant\BryaDe01,DAL,WR,24,16,14,0,0,0,0,0,2,-5,-2.50,0,138,92,1382,15.02,12,5,2,12,1,,208,299.7,304.7,253.7,89,3,13
14,Jamaal Charles*\CharJa00,KAN,RB,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,6.74,1,5,3,6,,,205,239.5,248.5,222.0,88,8,14
15,Trent Richardson\RichTr00,CLE,RB,22,15,15,0,0,0,0,0,267,950,3.56,11,70,51,367,7.20,1,3,0,12,,,204,254.7,260.7,229.2,87,9,15
16,Frank Gore*\GoreFr00,SFO,RB,29,16,16,0,0,0,0,0,258,1214,4.71,8,36,28,234,8.36,1,3,1,10,,,203,230.8,237.8,216.8,86,10,16
17,A.J. Green*\GreeA.00,CIN,WR,24,16,16,0,0,0,0,0,4,38,9.50,0,164,97,1350,13.92,11,2,1,11,,,203,299.8,303.8,251.3,84,4,17
18,Stevan Ridley\RidlSt00,NWE,RB,23,16,12,0,0,0,0,0,290,1263,4.36,12,14,6,51,8.50,0,4,2,12,,,199,205.4,210.4,202.4,83,11,18
19,Demaryius Thomas*\ThomDe03,DEN,WR,25,16,16,0,0,0,0,0,0,0,,0,143,94,1434,15.26,10,3,3,10,,,197,291.4,297.4,244.4,79,5,19
20,Cam Newton\NewtCa00,CAR,QB,23,16,16,280,485,3869,19,12,127,741,5.83,8,1,0,6,,0,10,3,8,,,323,323.5,344.5,335.5,73,4,20
