,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Marshall Faulk*+\FaulMa00,STL,RB,28,14,14,0,1,0,0,0,260,1382,5.32,12,104,83,765,9.22,9,3,3,21,1,,337,419.7,428.7,378.2,204,1,1
2,Priest Holmes*+\HolmPr00,KAN,RB,28,16,16,0,0,0,0,0,327,1555,4.76,8,75,62,614,9.90,2,4,3,10,,,271,332.9,341.9,301.9,139,2,2
3,Ahman Green*\GreeAh00,GNB,RB,24,16,16,0,0,0,0,0,304,1387,4.56,9,82,62,594,9.58,2,5,4,11,,,256,318.1,328.1,287.1,124,3,3
4,Shaun Alexander\AlexSh00,SEA,RB,24,16,12,0,0,0,0,0,309,1318,4.27,14,59,44,343,7.80,2,4,4,16,,,254,298.1,308.1,276.1,122,4,4
5,Marvin Harrison*\HarrMa00,IND,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,164,109,1524,13.98,15,0,,15,,,243,351.7,354.7,297.2,114,1,5
6,Curtis Martin *\MartCu00,NYJ,RB,28,16,16,1,1,18,1,0,333,1513,4.54,10,63,53,320,6.04,0,2,2,10,,,244,297.0,305.0,270.5,112,5,6
7,Terrell Owens*+\OwenTe00,SFO,WR,28,16,16,0,0,0,0,0,4,21,5.25,0,155,93,1412,15.18,16,0,,16,,,239,332.3,335.3,285.8,110,2,7
8,Jeff Garcia *\GarcJe00,SFO,QB,31,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,0,,0,9,3,5,,2,299,298.9,319.9,310.9,97,1,8
9,Corey Dillon*\DillCo00,CIN,RB,27,16,16,0,1,0,0,1,340,1315,3.87,10,61,34,228,6.71,3,5,3,13,,,224,258.3,268.3,242.3,92,6,9
10,Kurt Warner*+\WarnKu00,STL,QB,30,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,0,,0,10,4,0,,1,293,293.2,322.2,315.2,91,2,10
11,David Boston*+\BostDa00,ARI,WR,23,16,15,0,0,0,0,0,5,35,7.00,0,175,98,1598,16.31,8,1,1,8,,,209,307.3,311.3,258.3,80,3,11
12,LaDainian Tomlinson\TomlLa00,SDG,RB,22,16,16,0,0,0,0,0,339,1236,3.65,10,74,59,367,6.22,0,8,5,10,,,210,269.3,280.3,239.8,78,7,12
13,Rod Smith*\SmitRo01,DEN,WR,31,15,14,0,0,0,0,0,3,27,9.00,0,172,113,1343,11.88,11,1,,11,1,,205,318.0,321.0,261.5,76,4,13
14,Ricky Williams\WillRi00,NOR,RB,24,16,16,0,0,0,0,0,313,1245,3.98,6,88,60,511,8.52,1,8,6,7,,,206,265.6,277.6,235.6,73,8,14
15,Antowain Smith\SmitAn00,NWE,RB,29,16,15,0,0,0,0,0,287,1157,4.03,12,28,19,192,10.11,1,4,4,13,,,205,223.9,233.9,214.4,73,9,15
16,Rich Gannon*\GannRi00,OAK,QB,36,16,16,361,549,3828,27,9,63,231,3.67,2,0,0,0,,0,13,7,2,1,,266,266.2,288.2,275.2,64,3,16
17,Steve McNair\McNaSt00,TEN,QB,28,15,15,264,431,3350,21,12,75,414,5.52,5,0,0,0,,0,5,3,5,,3,265,265.4,286.4,277.4,63,4,17
18,Tony Gonzalez*+\GonzTo00,KAN,TE,25,16,16,1,1,40,0,0,1,9,9.00,0,118,73,917,12.56,6,0,,6,1,,132,205.2,208.2,168.7,60,1,18
19,Randy Moss\MossRa00,MIN,WR,24,16,16,1,1,29,0,0,3,38,12.67,0,154,82,1233,15.04,10,0,,10,,,188,270.3,273.3,229.3,59,5,19
20,Peyton Manning\MannPe00,IND,QB,25,16,16,343,547,4131,26,23,35,157,4.49,4,0,0,0,,0,7,3,4,,2,261,260.9,292.9,283.9,59,5,20
21,Stephen Davis\DaviSt00,WAS,RB,27,16,16,0,0,0,0,0,356,1432,4.02,5,37,28,205,7.32,0,6,3,5,1,,190,217.7,226.7,203.7,57,10,21
22,Donovan McNabb*\McNaDo00,PHI,QB,25,16,16,285,493,3233,25,12,82,482,5.88,2,0,0,0,,0,8,3,2,,,260,259.5,280.5,271.5,57,6,22
23,Jimmy Smith*\SmitJi00,JAX,WR,32,16,16,0,0,0,0,0,1,-3,-3.00,0,176,112,1373,12.26,8,1,,8,,,185,297.0,300.0,241.0,56,6,23
24,Brett Favre *\FavrBr00,GNB,QB,32,16,16,314,510,3921,32,15,38,56,1.47,1,0,0,0,,0,16,6,1,,1,256,256.4,280.4,271.4,54,7,24
25,Joe Horn*\HornJo00,NOR,WR,29,16,16,0,1,0,0,0,1,4,4.00,0,156,83,1265,15.24,9,1,,9,,,181,263.9,266.9,222.4,52,7,25
26,Garrison Hearst*\HearGa00,SFO,RB,30,16,16,0,0,0,0,0,252,1206,4.79,4,55,41,347,8.46,1,1,1,5,,,183,224.3,231.3,203.8,51,11,26
27,Aaron Brooks\BrooAa00,NOR,QB,25,16,16,312,558,3832,26,22,80,358,4.48,1,1,0,0,,0,13,2,1,,1,253,253.1,283.1,275.1,51,8,27
28,Marcus Pollard\PollMa00,IND,TE,29,16,16,0,0,0,0,0,0,0,,0,73,47,739,15.72,8,0,,8,,,122,168.9,171.9,145.4,50,2,28
29,Tim Brown*\BrowTi00,OAK,WR,35,16,16,0,0,0,0,0,4,39,9.75,0,140,91,1165,12.80,9,1,1,10,,,178,269.4,273.4,223.9,49,8,29
30,Torry Holt*\HoltTo00,STL,WR,25,16,14,0,0,0,0,0,2,0,0.00,0,133,81,1363,16.83,7,2,,7,,,178,259.3,262.3,218.8,49,9,30
31,Dominic Rhodes\RhodDo00,IND,RB,22,15,10,0,0,0,0,0,233,1104,4.74,9,55,34,224,6.59,0,6,6,10,,,181,214.8,226.8,197.8,48,12,31
32,Anthony Thomas\ThomAn01,CHI,RB,24,14,10,0,0,0,0,0,278,1183,4.26,7,30,22,178,8.09,0,0,,7,1,,180,202.1,208.1,191.1,48,13,32
33,Derrick Mason\MasoDe00,TEN,WR,27,15,15,0,0,0,0,0,0,0,,0,113,73,1128,15.45,9,2,1,10,1,,173,245.8,249.8,209.3,44,10,33
34,Troy Brown*\BrowTr00,NWE,WR,30,16,13,0,0,0,0,0,11,91,8.27,0,142,101,1199,11.87,5,2,1,7,,,169,270.0,274.0,219.5,40,11,34
35,Jerry Rice\RiceJe00,OAK,WR,39,16,15,0,0,0,0,0,0,0,,0,125,83,1139,13.72,9,1,,9,,,168,250.9,253.9,209.4,39,12,35
36,Curtis Conway\ConwCu00,SDG,WR,30,16,16,0,0,0,0,0,7,116,16.57,1,126,71,1125,15.85,6,1,1,7,,,164,235.1,242.1,199.6,35,13,36
37,Kevin Johnson\JohnKe01,CLE,WR,25,16,16,0,0,0,0,0,0,0,,0,129,84,1097,13.06,9,2,,9,,,164,247.7,250.7,205.7,35,14,37
38,Tiki Barber\BarbTi00,NYG,RB,26,14,9,0,0,0,0,0,166,865,5.21,4,98,72,577,8.01,0,8,2,4,1,,166,238.2,246.2,202.2,34,14,38
39,Kordell Stewart*\StewKo00,PIT,QB,29,16,16,266,442,3109,14,11,96,537,5.59,5,0,0,0,,0,11,3,5,,,236,236.1,256.1,247.1,34,9,39
40,Marty Booker\BookMa00,CHI,WR,25,16,16,1,2,34,1,0,4,8,2.00,0,157,100,1071,10.71,8,2,1,8,,,159,259.3,263.3,209.3,30,15,40
41,Stacey Mack\MackSt00,JAX,RB,26,16,11,0,0,0,0,0,213,877,4.12,9,34,23,165,7.17,1,3,1,10,,,162,185.2,192.2,173.7,30,15,41
42,Darrell Jackson\JackDa00,SEA,WR,23,16,16,0,0,0,0,0,1,9,9.00,0,132,70,1081,15.44,8,0,,8,,,157,227.0,230.0,192.0,28,16,42
43,Lamar Smith\SmitLa00,MIA,RB,31,16,16,0,0,0,0,0,313,968,3.09,6,35,30,234,7.80,2,6,5,8,,,158,188.2,199.2,173.2,26,16,43
44,Mike Alstott *\AlstMi00,TAM,RB,28,16,16,0,0,0,0,0,165,680,4.12,10,50,35,231,6.60,1,2,2,11,2,,157,192.1,200.1,174.6,25,17,44
45,Charlie Garner\GarnCh00,OAK,RB,29,16,16,0,0,0,0,0,211,839,3.98,1,91,72,578,8.03,2,2,2,3,,,156,227.7,235.7,191.7,23,18,45
46,Desmond Clark\ClarDe00,DEN,TE,24,16,4,0,0,0,0,0,0,0,,0,76,51,566,11.10,6,3,,6,,,93,143.6,146.6,118.1,21,3,46
47,Frank Wycheck\WychFr00,TEN,TE,30,16,16,1,1,21,0,0,1,1,1.00,0,84,60,672,11.20,4,0,,4,,,92,152.1,155.1,122.1,20,4,47
48,Jay Fiedler\FiedJa00,MIA,QB,30,16,16,273,450,3290,20,19,73,321,4.40,4,0,0,0,,0,6,4,4,,,222,221.7,250.7,240.7,19,10,48
49,Shannon Sharpe*\SharSh00,BAL,TE,33,16,15,0,0,0,0,0,0,0,,0,114,73,811,11.11,2,1,1,2,,,91,164.1,168.1,127.6,19,5,49
