,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Shaun Alexander *+\AlexSh00,SEA,RB,28,16,16,0,0,0,0,0,370,1880,5.08,27,29,15,78,5.20,1,5,1,28,,,362,376.8,380.8,369.3,226,1,1
2,Larry Johnson*\JohnLa00,KAN,RB,26,16,9,0,0,0,0,0,336,1750,5.21,20,49,33,343,10.39,1,5,4,21,,,327,360.3,370.3,343.8,191,2,2
3,LaDainian Tomlinson*\TomlLa00,SDG,RB,26,16,16,3,4,47,3,0,339,1462,4.31,18,77,51,370,7.25,2,3,1,20,,,315,366.1,373.1,340.6,179,3,3
4,Tiki Barber*+\BarbTi00,NYG,RB,30,16,16,0,1,0,0,0,357,1860,5.21,9,70,54,530,9.81,2,1,1,11,1,,305,359.0,366.0,332.0,169,4,4
5,Edgerrin James*\JameEd00,IND,RB,27,15,15,0,0,0,0,0,360,1506,4.18,13,50,44,337,7.66,1,2,1,14,,,266,310.3,317.3,288.3,130,5,5
6,Steve Smith*+\SmitSt01,CAR,WR,26,16,16,0,0,0,0,0,4,25,6.25,1,150,103,1563,15.17,12,2,1,13,,,235,337.8,341.8,286.3,119,1,6
7,Clinton Portis\PortCl00,WAS,RB,24,16,16,1,2,17,1,0,352,1516,4.31,11,41,30,216,7.20,0,3,2,11,1,,242,271.9,279.9,256.9,106,6,7
8,Antonio Gates*+\GateAn00,SDG,TE,25,15,15,0,0,0,0,0,0,0,,0,140,89,1101,12.37,10,0,,10,,,170,259.1,262.1,214.6,93,1,8
9,Rudi Johnson\JohnRu00,CIN,RB,26,16,14,0,0,0,0,0,337,1458,4.33,12,30,23,90,3.91,0,1,,12,,,227,249.8,252.8,238.3,91,7,9
10,LaMont Jordan\JordLa00,OAK,RB,27,14,14,0,0,0,0,0,272,1025,3.77,9,103,70,563,8.04,2,2,1,11,1,,225,294.8,301.8,259.8,89,8,10
11,Larry Fitzgerald*\FitzLa00,ARI,WR,22,16,16,0,0,0,0,0,8,41,5.13,0,165,103,1409,13.68,10,0,,10,,,205,308.0,311.0,256.5,89,2,11
12,Chad Johnson *+\JohnCh01,CIN,WR,27,16,16,0,0,0,0,0,5,33,6.60,0,155,97,1432,14.76,9,1,,9,,,201,297.5,300.5,249.0,84,3,12
13,Santana Moss*\MossSa00,WAS,WR,26,16,16,0,0,0,0,0,3,-3,-1.00,0,134,84,1483,17.65,9,3,1,9,,,200,284.0,288.0,242.0,84,4,13
14,Joey Galloway\GallJo00,TAM,WR,34,16,16,0,0,0,0,0,2,4,2.00,0,152,83,1287,15.51,10,0,,10,,,189,272.1,275.1,230.6,73,5,14
15,Torry Holt*\HoltTo00,STL,WR,29,14,14,0,0,0,0,0,1,2,2.00,0,163,102,1331,13.05,9,2,,9,,,187,289.3,292.3,238.3,71,6,15
16,Anquan Boldin\BoldAn00,ARI,WR,25,14,14,0,1,0,0,0,12,45,3.75,0,171,102,1402,13.75,7,2,1,7,1,,187,288.7,292.7,237.7,71,7,16
17,Marvin Harrison*\HarrMa00,IND,WR,33,15,15,0,0,0,0,0,0,0,,0,134,82,1146,13.98,12,0,,12,,,187,268.6,271.6,227.6,70,8,17
18,Carson Palmer*\PalmCa00,CIN,QB,26,16,16,345,509,3836,32,12,34,41,1.21,1,0,0,0,,0,5,2,1,,1,266,265.5,282.5,277.5,70,1,18
19,Chris Chambers*\ChamCh00,MIA,WR,27,16,16,0,0,0,0,0,12,92,7.67,0,166,82,1118,13.63,11,5,2,11,,,183,265.0,270.0,224.0,67,9,19
20,Thomas Jones\JoneTh00,CHI,RB,27,15,15,0,0,0,0,0,314,1335,4.25,9,39,26,143,5.50,0,2,2,9,,,198,223.8,231.8,210.8,62,9,20
21,Mike Anderson\AndeMi00,DEN,RB,32,15,15,0,0,0,0,0,239,1014,4.24,12,21,18,212,11.78,1,2,2,13,,,197,214.6,222.6,205.6,61,10,21
22,Jeremy Shockey*\ShocJe00,NYG,TE,25,15,15,0,0,0,0,0,0,0,,0,121,65,891,13.71,7,0,,7,1,,133,198.1,201.1,165.6,56,2,22
23,Steven Jackson\JackSt00,STL,RB,22,15,15,0,0,0,0,0,254,1046,4.12,8,55,43,320,7.44,2,3,3,10,,,191,233.6,242.6,212.1,55,11,23
24,Tom Brady *\BradTo00,NWE,QB,28,16,16,334,530,4110,26,14,27,89,3.30,1,0,0,0,,0,4,3,1,,,249,249.3,269.3,263.3,53,2,24
25,Peyton Manning *+\MannPe00,IND,QB,29,16,16,305,453,3747,28,10,33,45,1.36,0,0,0,0,,0,5,1,0,,1,246,246.4,260.4,256.4,50,3,25
26,Warrick Dunn*\DunnWa00,ATL,RB,30,16,16,0,0,0,0,0,280,1416,5.06,3,37,29,220,7.59,1,3,1,4,,,186,214.6,221.6,200.1,50,12,26
27,Todd Heap\HeapTo00,BAL,TE,25,16,16,0,0,0,0,0,0,0,,0,114,75,855,11.40,7,2,1,7,,,126,200.5,204.5,163.0,49,3,27
28,Hines Ward\WardHi00,PIT,WR,29,15,15,0,0,0,0,0,3,10,3.33,0,114,69,975,14.13,11,1,1,11,,,163,231.5,235.5,197.0,46,10,28
29,Plaxico Burress\BurrPl00,NYG,WR,28,16,15,0,0,0,0,0,0,0,,0,166,76,1214,15.97,7,1,1,7,,,161,237.4,241.4,199.4,45,11,29
30,Terry Glenn\GlenTe00,DAL,WR,31,16,16,0,0,0,0,0,2,-4,-2.00,1,119,62,1136,18.32,7,0,,8,,,161,223.2,226.2,192.2,45,12,30
31,Alge Crumpler*\CrumAl00,ATL,TE,28,16,16,0,0,0,0,0,0,0,,0,118,65,877,13.49,5,1,1,5,1,,118,182.7,186.7,150.2,41,4,31
32,Chris Cooley\CoolCh00,WAS,TE,23,16,16,0,0,0,0,0,0,0,,0,103,71,774,10.90,7,3,1,7,,,117,188.4,192.4,152.9,40,5,32
33,Donald Driver\DrivDo00,GNB,WR,30,16,16,0,0,0,0,0,2,13,6.50,0,146,86,1221,14.20,5,0,,5,,,153,239.4,242.4,196.4,37,13,33
34,Willie Parker\ParkWi00,PIT,RB,25,15,15,0,0,0,0,0,255,1202,4.71,4,24,18,218,12.11,1,4,,5,,,172,190.0,196.0,181.0,36,13,34
